id,city,lat,lon
1,Mont Saint Michel,48.6358559,-1.5126096
2,St Malo,48.6454528,-2.015418
3,Bayeux,49.2764624,-0.7024738
4,Le Havre,49.4938975,0.1079732
5,Rouen,49.4404591,1.0939658
6,Paris,48.8566969,2.3514616
7,Amiens,49.8941708,2.2956951
8,Lille,50.6365654,3.0635282
9,Strasbourg,48.584614,7.7507127
10,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195
11,Colmar,48.0777517,7.3579641
12,Eguisheim,48.0447968,7.3079618
13,Besancon,47.2380222,6.0243622
14,Dijon,47.3215806,5.0414701
15,Annecy,45.8992348,6.1288847
16,Grenoble,45.1875602,5.7357819
17,Lyon,45.7578137,4.8320114
18,Verdon Gorge,43.740335,6.3799984
19,Bormes les Mimosas,43.1506968,6.3419285
20,Cassis,43.2140359,5.5396318
21,Marseille,43.2961743,5.3699525
22,Aix en Provence,43.5298424,5.4474738
23,Avignon,43.9492493,4.8059012
24,Uzès,44.0121279,4.4196718
25,Nímes,43.8374249,4.3600687
26,Aigues Mortes,43.5658225,4.1912837
27,Saintes Maries de la mer,43.4522771,4.4287172
28,Collioure,42.52505,3.0831554
29,Carcassonne,43.2130358,2.3491069
30,Ariege,42.9455368,1.4065544156065486
31,Toulouse,43.6044622,1.4442469
32,Montauban,44.0175835,1.3549991
33,Biarritz,43.471143749999996,-1.552726590666314
34,Bayonne,43.4933379,-1.475099
35,La Rochelle,46.1591126,-1.1520434
