id,name,url,description,lat,lon,score,city_id
1,Hôtel Vert,"https://www.booking.com/hotel/fr/vert.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Hotel Vert offers pastel-coloured rooms with a private bathroom, TV and free Wi-Fi access. It is located 2 km from the Mont Saint-Michel tidal island on the Normandy Coast.",48.6147004862904,-1.50961697101593,2,1
2,Les Terrasses Poulard,"https://www.booking.com/hotel/fr/les-terrasses-poulard.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Composed of 2 different buildings, Les Terrasses Poulard is a historical property in the heart of Mont Saint-Michel and offers views of the bay, the village and the street.",48.6353494256412,-1.51037871837616,3,1
3,Mercure Mont Saint Michel,"https://www.booking.com/hotel/fr/mont-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","This Mercure is situated in parkland just 2 km from the abbey of Mont Saint Michel. It offers spacious en suite rooms, a restaurant and bar and plenty of free on-site parking.",48.6142465295929,-1.51054501533508,4,1
4,Le Mouton Blanc,"https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","At the foot of the abbey, the Mouton Blanc Hotel, welcomes you in its historic 14th century location. Le Mouton Blanc provides comfortable rooms with a simple yet cosy decoration.",48.6360229844471,-1.50989592075348,3,1
5,La Vieille Auberge,"https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","La Vieille Auberge is located in the medieval village of Le Mont Saint Michel, just a short walk from the famous Mont Saint-Michel Abbey.",48.636063,-1.511457,2,1
6,Hôtel la Croix Blanche,"https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Situated in the heart of Mont Saint Michel medieval Village, Hôtel La Croix Blanche offers a terrace and a bar. The rooms at Hôtel La Croix Blanche have a flat-screen, satellite TV and a minibar.",48.6357340642713,-1.50986105203629,3,1
7,La Mère Poulard,"https://www.booking.com/hotel/fr/la-mere-poulard.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Housed in a historical building, this hotel is ideally located in the heart of Mont Saint-Michel. The classic-style rooms overlook the bay, the abbey or the medieval city.",48.635085317234,-1.51053965091705,3,1
8,Hotel De La Digue,"https://www.booking.com/hotel/fr/de-la-digue.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","The traditional Hotel De La Digue in the Basse-Normandie region is only 5 minutes by shuttle from Mont St Michel, or 30 minutes by foot. Free Wi-Fi is provided throughout the property.",48.6168815494412,-1.51091784238815,3,1
9,Le Relais Saint Michel,"https://www.booking.com/hotel/fr/le-relais-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",Le Relais Saint Michel is an hotel facing the bay of Mont Saint-Michel.,48.6175872716489,-1.51039615273476,4,1
10,Hotel Gabriel,"https://www.booking.com/hotel/fr/hotel-gabriel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",Hotel Gabriel is located 1.6 Km from Mont Saint-Michel. It offers free Wi-Fi access and en suite rooms just a 25-minute walk from the walls of the old city.,48.6153814136834,-1.5107099711895,3,1
11,Le Relais Du Roy,"https://www.booking.com/hotel/fr/le-relais-du-roy.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=11&hpos=11&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Le Relais Du Roy offers a restaurant and a bar. This 3-star hotel is situated next to the River Couesnon, just 1.5 km from the Mont Saint-Michel and 50 metres from the free shuttle bus.",48.6162627045124,-1.51090577244759,3,1
