id,dt,sunrise,sunset,moonrise,moonset,moon_phase,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather,clouds,pop,rain,uvi,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn,city_id,lat,lon,timezone,timezone_offset,snow
1,2021-05-08,1620448491,1620502213,1620445440,1620489900,0.9,1008,58,10.56,10.3,212,15.48,"[{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}]",56,0.51,1.52,6.89,19.0,9.55,19.11,12.22,18.15,12.74,18.47,12.55,17.64,12.55,1,48.6359,-1.5126,Europe/Paris,7200,
2,2021-05-09,1620534802,1620588698,1620532800,1620580260,0.93,998,56,10.22,5.3,194,9.55,"[{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}]",100,0.53,0.42,6.77,19.11,10.59,20.19,12.01,14.97,12.52,18.54,11.73,14.45,11.73,1,48.6359,-1.5126,Europe/Paris,7200,
3,2021-05-10,1620621115,1620675183,1620620160,1620670560,0.96,1005,56,6.53,9.15,217,13.61,"[{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}]",34,0.71,0.99,6.15,15.16,8.77,15.5,8.77,13.7,10.01,14.19,9.39,12.82,9.39,1,48.6359,-1.5126,Europe/Paris,7200,
4,2021-05-11,1620707429,1620761666,1620707700,1620760980,0.0,1007,62,7.39,9.67,198,13.65,"[{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}]",96,0.89,1.94,5.52,14.77,6.82,14.77,9.32,12.34,8.6,13.92,5.98,11.59,5.98,1,48.6359,-1.5126,Europe/Paris,7200,
5,2021-05-12,1620793745,1620848149,1620795360,1620851340,0.02,1011,77,7.68,5.42,204,11.49,"[{'id': 501, 'main': 'Rain', 'description': 'pluie modérée', 'icon': '10d'}]",92,1.0,11.49,5.24,11.58,6.78,12.87,9.18,11.26,8.26,10.8,5.9,10.9,5.9,1,48.6359,-1.5126,Europe/Paris,7200,
6,2021-05-13,1620880063,1620934632,1620883320,1620941640,0.05,1010,62,6.39,3.57,249,5.26,"[{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}]",30,0.83,1.25,6.0,13.73,7.06,14.11,8.32,11.89,8.07,12.78,6.26,10.94,6.26,1,48.6359,-1.5126,Europe/Paris,7200,
7,2021-05-14,1620966383,1621021114,1620971640,0,0.08,1012,67,7.41,5.17,324,5.48,"[{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}]",100,0.71,0.7,6.0,13.59,7.08,13.59,9.05,12.04,8.37,12.75,7.31,11.31,7.31,1,48.6359,-1.5126,Europe/Paris,7200,
8,2021-05-15,1621052704,1621107595,1621060500,1621031700,0.11,1021,69,6.29,6.31,17,8.98,"[{'id': 804, 'main': 'Clouds', 'description': 'couvert', 'icon': '04d'}]",99,0.44,0.0,6.0,11.81,7.06,13.59,7.26,12.31,9.05,10.85,7.14,11.42,7.14,1,48.6359,-1.5126,Europe/Paris,7200,
9,2021-05-08,1620448610,1620502336,1620445560,1620490020,0.9,1007,60,10.14,11.41,209,16.09,"[{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}]",41,0.58,1.79,6.9,18.01,10.32,18.95,12.07,17.73,13.08,17.43,12.82,17.18,12.82,2,48.6455,-2.0154,Europe/Paris,7200,
10,2021-05-09,1620534921,1620588821,1620532920,1620580380,0.93,998,61,10.14,7.97,242,12.47,"[{'id': 803, 'main': 'Clouds', 'description': 'nuageux', 'icon': '04d'}]",83,0.31,0.0,6.8,17.86,11.13,18.14,11.13,14.4,11.95,17.29,11.16,13.72,11.16,2,48.6455,-2.0154,Europe/Paris,7200,
11,2021-05-10,1620621233,1620675305,1620620280,1620670680,0.96,1004,57,6.18,10.0,220,13.94,"[{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}]",63,0.72,1.1,6.14,14.58,9.52,14.7,9.52,13.14,10.75,13.58,10.0,12.31,10.0,2,48.6455,-2.0154,Europe/Paris,7200,
